"Table 2--Rye: planted acreage, harvested acreage, production, yield, and farm price",,,,,
Marketing year 1/,Planted acreage,Harvested acreage,Production,Yield,Weighted-average farm price
,"1,000 acres","1,000 acres","1,000 bushels",bushels per acre,dollars per bushel
1866/67,--,"1,509","17,619",11.7,--
1867/68,--,"1,649","19,595",11.9,--
1868/69,--,"1,620","17,218",10.6,--
1869/70,--,"1,631","17,906",11.0,--
1870/71,--,"1,559","15,637",10.0,--
1871/72,--,"1,588","16,975",10.7,--
1872/73,--,"1,563","16,776",10.7,--
1873/74,--,"1,553","16,141",10.4,--
1874/75,--,"1,568","17,305",11.0,--
1875/76,--,"1,647","16,927",10.3,--
1876/77,--,"1,770","19,266",10.9,--
1877/78,--,"1,844","21,860",11.9,--
1878/79,--,"1,905","21,755",11.4,--
1879/80,--,"1,825","19,789",10.8,--
1880/81,--,"1,752","19,306",11.0,--
1881/82,--,"1,749","19,181",11.0,--
1882/83,--,"2,080","26,747",12.9,--
1883/84,--,"2,123","25,407",12.0,--
1884/85,--,"2,100","26,627",12.7,--
1885/86,--,"1,897","21,714",11.4,--
1886/87,--,"1,918","23,854",12.4,--
1887/88,--,"1,985","22,530",11.4,--
1888/89,--,"2,181","28,440",13.0,--
1889/90,--,"2,248","29,524",13.1,--
1890/91,--,"2,116","26,378",12.5,--
1891/92,--,"2,180","29,569",13.6,--
1892/93,--,"2,239","28,718",12.8,--
1893/94,--,"2,162","26,700",12.3,--
1894/95,--,"2,166","26,758",12.4,--
1895/96,--,"2,400","29,614",12.3,--
1896/97,--,"2,599","31,852",12.3,--
1897/98,--,"2,323","31,129",13.4,--
1898/99,--,"2,204","29,044",13.2,--
1899/00,--,"2,059","26,001",12.6,--
1900/01,--,"2,127","27,413",12.9,--
1901/02,--,"2,409","30,773",12.8,--
1902/03,--,"2,444","33,862",13.9,--
1903/04,--,"2,260","28,932",12.8,--
1904/05,--,"2,205","28,461",12.9,--
1905/06,--,"2,297","31,173",13.6,--
1906/07,--,"2,154","29,609",13.7,--
1907/08,--,"2,073","28,247",13.6,--
1908/09,--,"2,130","28,650",13.5,--
1909/10,--,"2,212","30,083",13.6,.72
1910/11,--,"2,262","29,098",12.9,.73
1911/12,--,"2,452","31,396",12.8,.81
1912/13,--,"2,724","37,911",13.9,.63
1913/14,--,"3,089","40,390",13.1,.59
1914/15,--,"3,144","42,120",13.4,.81
1915/16,--,"3,417","46,752",13.7,.84
1916/17,--,"3,528","43,089",12.2,1.12
1917/18,--,"5,064","60,381",11.9,1.73
1918/19,--,"6,709","83,586",12.5,1.49
1919/20,--,"7,187","78,849",11.0,1.45
1920/21,--,"4,843","62,113",12.8,1.46
1921/22,--,"4,865","61,205",12.6,.83
1922/23,--,"6,770","101,142",14.9,.63
1923/24,--,"4,946","56,091",11.3,.58
1924/25,--,"3,943","58,470",14.8,.95
1925/26,--,"3,807","42,418",11.1,.78
1926/27,--,"3,427","34,968",10.2,.83
1927/28,--,"3,466","51,196",14.8,.82
1928/29,--,"3,320","38,055",11.5,.82
1929/30,--,"3,138","35,411",11.3,.84
1930/31,--,"3,646","45,383",12.4,.43
1931/32,"5,345","3,159","32,777",10.4,.34
1932/33,"5,401","3,350","39,099",11.7,.27
1933/34,"4,714","2,405","20,573",8.6,.62
1934/35,"5,453","1,921","16,285",8.5,.72
1935/36,"6,210","4,066","56,938",14.0,.38
1936/37,"6,446","2,694","24,239",9.0,.81
1937/38,"7,235","3,825","48,862",12.8,.67
1938/39,"6,654","4,087","55,984",13.7,.32
1939/40,"7,206","3,822","38,562",10.1,.43
1940/41,"5,514","3,204","39,725",12.4,.40
1941/42,"6,143","3,573","43,878",12.3,.52
1942/43,"6,371","3,792","52,929",14.0,.58
1943/44,"5,311","2,652","28,680",10.8,.98
1944/45,"4,415","2,132","22,525",10.6,1.09
1945/46,"4,157","1,850","23,708",12.8,1.36
1946/47,"3,396","1,597","18,487",11.6,1.94
1947/48,"3,678","1,991","25,497",12.8,2.28
1948/49,"3,725","2,058","25,886",12.6,1.43
1949/50,"3,293","1,554","18,102",11.6,1.20
1950/51,"3,664","1,753","21,403",12.2,1.31
1951/52,"3,616","1,722","21,517",12.5,1.52
