Domain Code,Domain,Recipient Country Code (ISO3),Recipient Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,1988,1988,t,49722,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,1989,1989,t,283871,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,1990,1990,t,35914,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,1991,1991,t,26800,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,1992,1992,t,82730,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,1993,1993,t,121079,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,1994,1994,t,69691,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,1995,1995,t,130456,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,1996,1996,t,115105,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,1997,1997,t,198078,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,1998,1998,t,35432,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,1999,1999,t,118599,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,2000,2000,t,206012,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,2001,2001,t,325735,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,2002,2002,t,297292,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,2003,2003,t,159800,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,2004,2004,t,182611,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,2005,2005,t,91053,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),AFG,Afghanistan,500,Food aid received,11945,Wheat & Wheat Flour,2006,2006,t,106829,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),ALB,Albania,500,Food aid received,11945,Wheat & Wheat Flour,1991,1991,t,178006,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),ALB,Albania,500,Food aid received,11945,Wheat & Wheat Flour,1992,1992,t,520646,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),ALB,Albania,500,Food aid received,11945,Wheat & Wheat Flour,1993,1993,t,489980,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),ALB,Albania,500,Food aid received,11945,Wheat & Wheat Flour,1994,1994,t,28999,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),ALB,Albania,500,Food aid received,11945,Wheat & Wheat Flour,1995,1995,t,40,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),ALB,Albania,500,Food aid received,11945,Wheat & Wheat Flour,1996,1996,t,22874,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),ALB,Albania,500,Food aid received,11945,Wheat & Wheat Flour,1997,1997,t,9993,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),ALB,Albania,500,Food aid received,11945,Wheat & Wheat Flour,1998,1998,t,25678,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),ALB,Albania,500,Food aid received,11945,Wheat & Wheat Flour,1999,1999,t,6364,X,Figure from international organizations,Data provided by WFP
FA,Food Aid Shipments (WFP),ALB,Albania,500,Food aid received,11945,Wheat & Wheat Flour,2000,2000,t,7184,X,Figure from international organizations,Data provided by WFP
